UPC,Product Name,Category,Subcategory,In Stock,Price,Sale,Sale Price,Unit,Image Link,Description,Product Page Link
00057836022706,Sunset Purple Froot Berry Tomatoes,Fresh Fruits & Vegetables,Fresh Vegetables,True,4.99,False,0,312g,https://api.longos.com/medias/00057836022706-1-base-conversionFormat-1200Wx1200H.png?context=bWFzdGVyfGltYWdlc3wxNzM3NDJ8aW1hZ2UvcG5nfGhlMS9oMzIvOTMzNDExMjgxMzA4Ni8wMDA1NzgzNjAyMjcwNl8xX2Jhc2UtY29udmVyc2lvbkZvcm1hdF8xMjAwV3gxMjAwSHwzNjZjMTkxMGI1NjhkNjNmOGQ2N2Y1OWE0OWYzNDcwOGEzOTM3NDU1NGNkYWZlNWJmNDFjMDdiOGU2YjYzOTc1,"Best for salads and snacking, sweet and complex.Product of Canada.",https://www.longos.com/product/00057836022706/Sunset%20Purple%20Froot%20Berry%20Tomatoes%20%20
00057836000322,Kaboom Black Jalapenos,Fresh Fruits & Vegetables,Fresh Vegetables,True,2.50,False,0,227g,https://api.longos.com/medias/00057836000322-1-base-conversionFormat-1200-conversionFormat.png?context=bWFzdGVyfGltYWdlc3w2MTU5MjV8aW1hZ2UvcG5nfGltYWdlcy9oMDEvaDQ1LzkxNDg1OTE2MDM3NDIucG5nfDA3Yjk1ZTU2NDI0NjllZWQwM2M0ZDYzOWQyMGM4MGY4NTEzODU4MjI1MDVjYzQ2MDM2M2U1OWUzNTc0OWU1ZTQ,,https://www.longos.com/product/00057836000322/Kaboom%20Black%20Jalapenos
00057836022706,Sunset Purple Froot Berry Tomatoes,Fresh Fruits & Vegetables,Fresh Vegetables,True,4.99,False,0,312g,https://api.longos.com/medias/00057836022706-1-base-conversionFormat-1200Wx1200H.png?context=bWFzdGVyfGltYWdlc3wxNzM3NDJ8aW1hZ2UvcG5nfGhlMS9oMzIvOTMzNDExMjgxMzA4Ni8wMDA1NzgzNjAyMjcwNl8xX2Jhc2UtY29udmVyc2lvbkZvcm1hdF8xMjAwV3gxMjAwSHwzNjZjMTkxMGI1NjhkNjNmOGQ2N2Y1OWE0OWYzNDcwOGEzOTM3NDU1NGNkYWZlNWJmNDFjMDdiOGU2YjYzOTc1,"Best for salads and snacking, sweet and complex.Product of Canada.",https://www.longos.com/product/00057836022706/Sunset%20Purple%20Froot%20Berry%20Tomatoes%20%20
00057836000322,Kaboom Black Jalapenos,Fresh Fruits & Vegetables,Fresh Vegetables,True,2.50,False,0,227g,https://api.longos.com/medias/00057836000322-1-base-conversionFormat-1200-conversionFormat.png?context=bWFzdGVyfGltYWdlc3w2MTU5MjV8aW1hZ2UvcG5nfGltYWdlcy9oMDEvaDQ1LzkxNDg1OTE2MDM3NDIucG5nfDA3Yjk1ZTU2NDI0NjllZWQwM2M0ZDYzOWQyMGM4MGY4NTEzODU4MjI1MDVjYzQ2MDM2M2U1OWUzNTc0OWU1ZTQ,,https://www.longos.com/product/00057836000322/Kaboom%20Black%20Jalapenos
00701080310774,Lil' Cados Avocados,Fresh Fruits & Vegetables,Fruits,True,4.99,False,0,Pkg of 6,https://api.longos.com/medias/00701080310774-1-base-conversionFormat-1200Wx1200H.png?context=bWFzdGVyfGltYWdlc3w3NTk2NjV8aW1hZ2UvcG5nfGg4ZC9oZTcvOTM1MDA0NTA0MDY3MC8wMDcwMTA4MDMxMDc3NF8xX2Jhc2UtY29udmVyc2lvbkZvcm1hdF8xMjAwV3gxMjAwSHw0NGYwMzA5YmJiNjNlOGM4NjZhOGE5OWVmNmFhYjlmZTlhOTBlODQ4N2Y3YmJlZmRjOTJlMGVkZjhjNzY0NjQ3,"The perfect portion superfruit for single-serve meals, these mini-sized avocados are brimming full of flavor. Each serving offers on-the-go goodness and a powerhouse of vitamins, minerals, and vital plant nutrients. The just right no-waste size for savoring singly, Lil’ Cados are the ideal solution for your noshing needs.",https://www.longos.com/product/00701080310774/Lil'%20Cados%20Avocados
14218,Apricots,Fresh Fruits & Vegetables,Fruits,True,1.06,False,0,Each,https://api.longos.com/medias/14218-1-base-conversionFormat-1200Wx1200H.png?context=bWFzdGVyfGltYWdlc3wyMzk0ODh8aW1hZ2UvcG5nfGgyMC9oNmYvOTMzNDcyMjg4NzcxMC8xNDIxOF8xX2Jhc2UtY29udmVyc2lvbkZvcm1hdF8xMjAwV3gxMjAwSHwyZmRkODc5MDRhYWFjNmFiMWJiZDQxM2ViZmNmYmI4OTQyNGUxZThhMWFlZWUxOWE2NjRhNDlhNzkyZDk2Yjhh,An average 120g.,https://www.longos.com/product/14218/Apricots
194218,Organic Apricots,Fresh Fruits & Vegetables,Fruits,True,1.07,False,0,Each,https://api.longos.com/medias/194218-1-base-conversionFormat-1200Wx1200H.png?context=bWFzdGVyfGltYWdlc3wyMzk0ODh8aW1hZ2UvcG5nfGg3OC9oMmMvOTMzNDA0NDI2MjQzMC8xOTQyMThfMV9iYXNlLWNvbnZlcnNpb25Gb3JtYXRfMTIwMFd4MTIwMEh8ZjE4MWEwZjhhODVjNjM5MzEwZTAyOTU1ZDA3OTA4ZDI4YzkxMmY1YjJkYWQxOTk1NDYyZmMyZDY3ODg0YjhiMQ,Average of 120g.,https://www.longos.com/product/194218/Organic%20Apricots
00033383202020,Ontario Strawberries,Fresh Fruits & Vegetables,Fruits,True,6.99,False,0,Quart,https://api.longos.com/medias/00033383202020-1-base-conversionFormat-1200-conversionFormat.png?context=bWFzdGVyfGltYWdlc3wzNjExMDR8aW1hZ2UvcG5nfGltYWdlcy9oYzAvaGIyLzkwNDAxODg4MzM4MjIucG5nfDBhMDI3YWM5ZjQ3MGYyNWY3MDNhMDAxMTdhYjQ2NDIwZGNiNzlmYWVlYjcwY2E2OTU0MTIxYjcyNzA5YTNkMjc,,https://www.longos.com/product/00033383202020/Ontario%20Strawberries
00228189000004,Fruit Box for 4,Fresh Fruits & Vegetables,Fruits,True,30.00,False,0,box,https://api.longos.com/medias/00228189000004-2-base-conversionFormat-1200-conversionFormat.png?context=bWFzdGVyfGltYWdlc3wzOTAwMTV8aW1hZ2UvcG5nfGltYWdlcy9oZGIvaDIyLzkxMzEyODYxMDIwNDYucG5nfGExZmY0YTEzNTVlYjAwYTllMGE2MzY1MzVkZWQwOTJiYTc5NTIwODkyOGFmN2M2MWQ4MmYyNjFhYmU3MmU2NDg,Our Fruit bundle is selected based on what is in season. This week's box contains:1 bunch of Fairtrade Banana's1 package of Strawberries 454g1 package of Blueberries 236g1 bag of Red Seedless Grapes1 bag of L'il Gala Apples 3lbs1 bag of Longo's Clementines1 bag of Avocado,https://www.longos.com/product/00228189000004/Fruit%20Box%20for%204
14237,"Fairtrade Banana, Bunch",Fresh Fruits & Vegetables,Fruits,True,1.99,False,0,BUNCH,https://api.longos.com/medias/14237-1-base-conversionFormat-1200-conversionFormat.png?context=bWFzdGVyfGltYWdlc3w1MTczNjl8aW1hZ2UvcG5nfGltYWdlcy9oOGMvaDMxLzkyMzAxOTU3NTI5OTAucG5nfGM1ZGE3NzNhODYzN2I1Zjk1MWFkMzg0NDkyNWYyMjFiNWRmMjE1ZTViMDRjNTMxNGI4MGFmNTcxYjU4MDdmYTk,"A Fairtrade Certified banana means that workers and farmers are getting a fair price for their fruit, which reflects the sustainable cost of production. Equifruit is a group of diehard believers in ethical fruit sourcing. Established in 2006, Equifruit is Canada’s leading Fairtrade-certified banana importer & marketer.  Product of Ecuador or Peru  < View More","https://www.longos.com/product/14237/Fairtrade%20Banana,%20Bunch"
